base,consulta,escenario_indices,tiempo_ms,plan_elegido
bd_literaria_1k,Q1_genero,SIN,301,
bd_literaria_1k,Q1_genero,CON,283,
bd_literaria_1k,Q2_populares,SIN,848,
bd_literaria_1k,Q2_populares,CON,881,
bd_literaria_1k,Q3_historial,SIN,293,
bd_literaria_1k,Q3_historial,CON,297,
bd_literaria_1k,Q4_usuarios,SIN,890,
bd_literaria_1k,Q4_usuarios,CON,817,
bd_literaria_10k,Q1_genero,SIN,415,
bd_literaria_10k,Q1_genero,CON,337,
bd_literaria_10k,Q2_populares,SIN,924,
bd_literaria_10k,Q2_populares,CON,913,
bd_literaria_10k,Q3_historial,SIN,353,
bd_literaria_10k,Q3_historial,CON,283,
bd_literaria_10k,Q4_usuarios,SIN,915,
bd_literaria_10k,Q4_usuarios,CON,913,
bd_literaria_100k,Q1_genero,SIN,451,
bd_literaria_100k,Q1_genero,CON,310,
bd_literaria_100k,Q2_populares,SIN,1028,
bd_literaria_100k,Q2_populares,CON,980,
bd_literaria_100k,Q3_historial,SIN,427,
bd_literaria_100k,Q3_historial,CON,318,
bd_literaria_100k,Q4_usuarios,SIN,1139,
bd_literaria_100k,Q4_usuarios,CON,1070,
bd_literaria_1m,Q1_genero,SIN,626,
bd_literaria_1m,Q1_genero,CON,477,
bd_literaria_1m,Q2_populares,SIN,7432,
bd_literaria_1m,Q2_populares,CON,5557,
bd_literaria_1m,Q3_historial,SIN,555,
bd_literaria_1m,Q3_historial,CON,261,
bd_literaria_1m,Q4_usuarios,SIN,3831,
bd_literaria_1m,Q4_usuarios,CON,3038,
